,fi,ru,sv,en,es,it,ar,ja,nds,tr,fr,zh,de,pl,ko,pt,la,uk,et,vi,da,th,eo,no,nl,fa,ca,hu,cs,lv,he,id,lt,el,lang_count,park_id,users,posts
298062,47.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,298062,24,51
298434,87.0,,10.0,7.0,1.0,,,,,,,,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,7,298434,80,110
298440,12.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,3,298440,8,18
298842,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,298842,1,1
298843,1845.0,643.0,96.0,349.0,18.0,71.0,12.0,49.0,,3.0,13.0,17.0,11.0,3.0,10.0,14.0,5.0,4.0,28.0,1.0,3.0,,4.0,2.0,6.0,1.0,1.0,2.0,1.0,,,,3.0,,28,298843,2303,3322
298845,10.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,298845,6,12
298847,61.0,1.0,1.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,298847,47,68
298848,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,298848,4,4
298849,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1,298849,1,1
298855,14.0,1.0,1.0,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,6,298855,21,22
299240,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,299240,1,1
299241,245.0,3.0,8.0,18.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,8,299241,214,284
299242,323.0,16.0,10.0,32.0,5.0,2.0,,1.0,,1.0,,,1.0,5.0,,1.0,,,3.0,,,1.0,,1.0,,,,1.0,,,,,,,15,299242,314,408
299625,218.0,6.0,9.0,23.0,5.0,1.0,,,,,1.0,,1.0,,,,,,1.0,,,,,4.0,,,,,,,,,,,10,299625,225,271
300016,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,300016,8,10
300834,603.0,11.0,9.0,36.0,7.0,7.0,,,,,7.0,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,9,300834,395,690
300835,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,300835,1,1
301256,418.0,8.0,8.0,68.0,2.0,3.0,,,,1.0,2.0,1.0,13.0,,,4.0,,1.0,1.0,,,,,,8.0,,,,,,,,,,14,301256,310,543
301629,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,301629,11,13
301631,2.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,2,301631,2,5
301632,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,301632,1,1
302023,61.0,1.0,,14.0,,,,,,,,,1.0,,,,21.0,,,,,,5.0,,,,,,,,,,,,6,302023,38,104
302026,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,302026,6,6
302027,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,302027,3,4
302434,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,302434,1,2
302814,39.0,1.0,2.0,6.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,5,302814,37,50
302815,23.0,,,4.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4,302815,28,31
302818,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,302818,1,1
303187,36.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,303187,28,42
303188,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,303188,3,3
303543,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,303543,2,3
303883,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,303883,2,2
303884,14.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,303884,6,22
304243,12.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,304243,13,22
304969,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,304969,4,6
305681,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,305681,4,5
305684,49.0,35.0,1.0,26.0,4.0,1.0,,,,,3.0,1.0,2.0,,,,,,,,,14.0,,,,,,,,,,,,,10,305684,100,139
305692,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,305692,4,4
306039,28.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,306039,14,29
306433,98.0,25.0,3.0,21.0,,7.0,,1.0,,,6.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,11,306433,121,165
306437,22.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,5,306437,28,29
309826,7.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,309826,7,11
309827,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,309827,2,2
310186,28.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,310186,23,29
310586,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,310586,1,1
310587,59.0,20.0,5.0,54.0,8.0,1.0,3.0,4.0,,1.0,,,2.0,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,1.0,1.0,2.0,,17,310587,131,171
310588,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,310588,2,6
310991,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,310991,3,6
310993,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,310993,4,7
310996,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,310996,4,6
