,fi,en,ru,it,sv,ja,pt,es,fr,nl,de,cs,id,zh,vi,th,fa,pl,et,tr,hu,lv,no,la,uk,ko,eo,is,lt,ar,da,ceb,he,ca,nds,el,sr,lang_count,park_id,users,posts
1750,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1750,2,2
1751,53.0,1.0,6.0,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,6,1751,34,63
1844,286.0,28.0,8.0,,4.0,1.0,,3.0,,1.0,,,,,1.0,,,,,,2.0,,,,,,,,,,,1.0,,,,,,10,1844,221,339
1846,22.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1846,22,27
1847,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1847,1,6
1849,19.0,3.0,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,6,1849,24,26
1850,48.0,7.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,4,1850,44,57
1851,261.0,27.0,6.0,1.0,8.0,,1.0,6.0,,,2.0,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,,,,10,1851,258,318
1852,414.0,40.0,9.0,,1.0,1.0,,1.0,1.0,,2.0,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,11,1852,384,476
1853,252.0,18.0,3.0,,8.0,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,8,1853,216,291
1855,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1855,1,1
1857,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1857,2,8
1858,1925.0,364.0,667.0,69.0,117.0,49.0,14.0,20.0,14.0,7.0,10.0,1.0,,17.0,1.0,,1.0,3.0,24.0,3.0,2.0,,2.0,2.0,4.0,11.0,1.0,,3.0,12.0,3.0,,,1.0,,,2.0,29,1858,2380,3459
1859,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1859,3,3
1860,757.0,110.0,55.0,6.0,19.0,2.0,1.0,15.0,2.0,5.0,4.0,,,1.0,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,1.0,17,1860,695,996
1861,1902.0,347.0,164.0,21.0,94.0,12.0,16.0,23.0,32.0,1.0,15.0,3.0,3.0,2.0,1.0,,2.0,10.0,7.0,4.0,,2.0,4.0,,,12.0,4.0,,,,4.0,5.0,,1.0,,5.0,,27,1861,2108,2749
1862,86.0,16.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,4,1862,68,107
1865,24.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1865,20,27
1866,99.0,26.0,7.0,4.0,4.0,,2.0,2.0,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,9,1866,102,148
